"Requirement_ID","Role","Policy_Requirement","Process_Requirement","Competency","Mandatory_Optional","Priority","Source_Document","Source_Section","Assessment_Requirement"
"R038","Operations Coordinator","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded"
"R039","Operations Coordinator","Accrue and use the standard 12-day annual leave entitlement","—","Leave-policy awareness","Mandatory","Low","DOC-03","2","Quiz: annual leave entitlement"
"R040","Operations Coordinator","—","[COVERAGE GAP] No Operations-specific SOP exists yet in DOC-01–DOC-10 (e.g. partner-school onboarding, field-visit scheduling, facilities process). Add an Operations SOP in Phase 2 (DOC-11–DOC-20) and a corresponding row here.","Pending","Optional","Medium","PENDING — Phase 2","—","—"
"R041","Marketing Executive","Treat colleagues, customers, and partners with respect and communicate professionally in all marketing channels","—","Professional conduct in external communications","Mandatory","High","DOC-04","2","Quiz: professional conduct standards"
"R042","Marketing Executive","Use passwords of at least 12 characters with mixed case, numbers, and symbols; enable MFA on systems handling customer data","—","Marketing-systems access security","Mandatory","High","DOC-06","2","Checklist item: MFA enabled on marketing tools"
"R043","Marketing Executive","Use only company-approved marketing/analytics software and devices","—","Acceptable-use compliance","Mandatory","Medium","DOC-06","3","Quiz: acceptable use of company systems"
"R044","Marketing Executive","Collect campaign lead and contact data only for a stated purpose, with recorded consent","—","Data-privacy-aware campaign management","Mandatory","High","DOC-05","3","Quiz: consent requirements for campaign data"
"R045","Marketing Executive","Share personal data with third-party ad/marketing platforms only under a signed data-processing agreement with Data Privacy Officer sign-off","—","Third-party data-sharing compliance","Mandatory","High","DOC-05","6","Quiz: third-party data-sharing rules"
"R046","Marketing Executive","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded"
"R047","Marketing Executive","Accrue and use the standard 12-day annual leave entitlement","—","Leave-policy awareness","Mandatory","Low","DOC-03","2","Quiz: annual leave entitlement"
"R048","Marketing Executive","—","[COVERAGE GAP] No Marketing-specific SOP exists yet in DOC-01–DOC-10 (e.g. campaign approval workflow, brand guidelines). Add a Marketing SOP in Phase 2 (DOC-11–DOC-20) and a corresponding row here.","Pending","Optional","Medium","PENDING — Phase 2","—","—"
"R049","Software Support Engineer","—","Confirm passing test suite, updated release notes, documented rollback plan, and 24-hour customer notice before deployment","Pre-deployment readiness verification","Mandatory","High","DOC-10","3","Checklist: complete a pre-deployment checklist"
"R050","Software Support Engineer","—","Execute the documented rollback plan and notify the Team Leader immediately if critical issues appear within 2 hours of deployment","Incident rollback execution","Mandatory","High","DOC-10","5","Scenario task: execute a rollback for a simulated failed deployment"
"R051","Software Support Engineer","—","Confirm functionality with the customer and close the deployment ticket at handover","Client handover discipline","Mandatory","Medium","DOC-10","6","Practical task: complete a client handover checklist"
"R052","Software Support Engineer","Access production customer data only through approved, logged tooling — never direct database export","—","Secure production-data access","Mandatory","High","DOC-06","4","Quiz: approved vs prohibited data-access methods"
"R053","Software Support Engineer","Access only role-relevant data per least-privilege rules; use anonymized data unless explicitly authorized","—","Least-privilege data access (Engineering)","Mandatory","High","DOC-05","4","Quiz: Engineering data-access boundaries"
"R054","Software Support Engineer","Use passwords of at least 12 characters with mixed case, numbers, and symbols; enable MFA on all systems handling customer data","—","Systems access security","Mandatory","High","DOC-06","2","Checklist item: MFA enabled on engineering systems"
"R055","Software Support Engineer","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded"
"R056","Software Support Engineer","Accrue and use the standard 12-day annual leave entitlement","—","Leave-policy awareness","Mandatory","Low","DOC-03","2","Quiz: annual leave entitlement"
"R057","Branch Manager","Wear business-formal attire during client meetings and site visits","—","Client-facing presentation standard","Mandatory","Low","DOC-04","4.2","Checklist item: dress-code acknowledgement"
"R058","Branch Manager","—","Approve sales deals of 500,000,000 VND or more before the proposal is sent","Deal-approval authority","Mandatory","High","DOC-08","5","Scenario task: approve/reject a sample large deal"
"R059","Branch Manager","—","Approve expense-reimbursement claims of 5,000,000 VND or more, in addition to the employee's direct manager","Reimbursement approval authority","Mandatory","High","DOC-09","4","Scenario task: approve/reject a sample large claim"
"R060","Branch Manager","—","Take final authority on Tier 3 customer escalations left unresolved after 48 hours, including approving compensation or refunds","Tier-3 escalation authority","Mandatory","High","DOC-07","4.3","Scenario task: resolve a simulated Tier-3 escalation"
"R061","Branch Manager","Enforce the three-stage disciplinary process, applying the direct-to-written-warning fast path for security violations","—","Disciplinary process oversight","Mandatory","Medium","DOC-04","6","Quiz: disciplinary process stages and exceptions"
"R062","Branch Manager","Oversee incident-reporting compliance within the branch, ensuring 1-hour reporting to IT Security","—","Branch security-incident oversight","Mandatory","Medium","DOC-06","5","Quiz: incident-reporting escalation timeline"
"R063","Branch Manager","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded"
"R064","Branch Manager","Accrue and use the seniority-level 15-day annual leave entitlement","—","Leave-policy awareness (seniority)","Mandatory","Low","DOC-03","2.1","Quiz: seniority leave entitlement"
"R065","Data Analyst","Use anonymized or aggregated datasets by default; access beyond that requires written Data Privacy Officer approval","—","Least-privilege data access (Data)","Mandatory","High","DOC-05","4","Quiz: Data Analyst default access scope"
"R066","Data Analyst","Use anonymized datasets for analysis unless explicitly authorized under the Data Privacy Policy","—","Anonymized-data-first analysis practice","Mandatory","High","DOC-06","4","Scenario task: choose the correct dataset for a sample analysis request"
"R067","Data Analyst","Follow the data retention and deletion schedule when storing or archiving analysis datasets","—","Data-retention compliance","Mandatory","Medium","DOC-05","5","Quiz: retention periods for employee vs customer data"
"R068","Data Analyst","Use passwords of at least 12 characters with mixed case, numbers, and symbols; enable MFA where required","—","Systems access security","Mandatory","High","DOC-06","2","Checklist item: MFA enabled on data systems"
"R069","Data Analyst","Access company systems remotely only via company VPN and an approved, encrypted device","—","Remote access security","Mandatory","Medium","DOC-06","6","Checklist item: VPN and device compliance"
"R070","Data Analyst","Do not share personal data with third parties without a signed data-processing agreement and Data Privacy Officer sign-off","—","Third-party data-sharing compliance","Mandatory","Medium","DOC-05","6","Quiz: third-party data-sharing rules"
"R071","Data Analyst","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded"
"R072","Data Analyst","Accrue and use the standard 12-day annual leave entitlement","—","Leave-policy awareness","Mandatory","Low","DOC-03","2","Quiz: annual leave entitlement"
"R073","Team Leader/Tech Lead","—","Receive Tier-2 escalations from Customer Support Executive within 1 business hour of the 24-hour threshold, and resolve or advance to Tier 3 within 48 hours","Tier-2 escalation resolution authority","Mandatory","High","DOC-07","4.2","Scenario task: resolve a simulated Tier-2 escalation"
"R074","Team Leader/Tech Lead","—","Review and record sign-off on every production deployment before it proceeds","Deployment approval authority","Mandatory","High","DOC-10","4","Scenario task: approve/reject a sample deployment request"
"R075","Team Leader/Tech Lead","—","Provide oversight for the Software Support Engineer's pre-deployment checklist and rollback execution","Deployment quality oversight","Mandatory","Medium","DOC-10","2","Quiz: deployment sign-off responsibilities"
"R076","Team Leader/Tech Lead","Access production customer data only through approved, logged tooling — never direct database export","—","Secure production-data access","Mandatory","High","DOC-06","4","Quiz: approved vs prohibited data-access methods"
"R077","Team Leader/Tech Lead","Accrue and use the seniority-level 15-day annual leave entitlement","—","Leave-policy awareness (seniority)","Mandatory","Low","DOC-03","2.1","Quiz: seniority leave entitlement"
"R078","Team Leader/Tech Lead","Use passwords of at least 12 characters with mixed case, numbers, and symbols; enable MFA on systems handling customer data","—","Systems access security","Mandatory","High","DOC-06","2","Checklist item: MFA enabled on engineering systems"
"R079","Team Leader/Tech Lead","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded"
"R080","Team Leader/Tech Lead","Apply the direct-to-written-warning disciplinary fast path when a team member commits a security-related violation","—","Team-level disciplinary escalation awareness","Mandatory","Medium","DOC-04","6","Quiz: disciplinary process for security violations"
